成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:03,18.12,0.05,529,958548,买盘
09:30:03,18.12,0.0,959,1743233,买盘
09:30:06,18.14,0.02,144,260678,中性盘
09:30:09,18.13,-0.01,101,183517,卖盘
09:30:12,18.16,0.03,22,39982,中性盘
09:30:15,18.15,-0.01,80,145502,卖盘
09:30:18,18.26,0.11,384,699978,买盘
09:30:21,18.24,-0.02,444,811456,卖盘
09:30:24,18.23,-0.01,198,360922,卖盘
09:30:27,18.2,-0.03,95,173043,卖盘
09:30:30,18.22,0.02,60,109301,买盘
09:30:33,18.19,-0.03,276,502318,卖盘
09:30:36,18.19,0.0,3,5455,买盘
09:30:39,18.19,0.0,78,141780,买盘
09:30:42,18.15,-0.04,337,613135,卖盘
09:30:45,18.15,0.0,1,1815,买盘
09:30:48,18.14,-0.01,30,54426,卖盘
09:30:51,18.14,0.0,30,54420,买盘
09:30:54,18.15,0.01,44,79844,买盘
09:30:57,18.13,-0.02,174,315484,卖盘
09:31:00,18.14,0.01,66,119722,中性盘
09:31:03,18.14,0.0,69,125235,卖盘
09:31:06,18.15,0.01,52,94381,中性盘
09:31:09,18.1,-0.05,159,287957,卖盘
09:31:12,18.12,0.02,106,192064,买盘
09:31:15,18.11,-0.01,91,164848,卖盘
09:31:18,18.12,0.01,73,132181,买盘
09:31:24,18.11,-0.01,8,14489,卖盘
09:31:27,18.1,-0.01,128,231523,卖盘
09:31:30,18.08,-0.02,21,37968,卖盘
09:31:33,18.08,0.0,1,1808,买盘
09:31:36,18.08,0.0,2,3616,买盘
09:31:39,18.06,-0.02,151,272857,卖盘
09:31:42,18.07,0.01,17,30722,买盘
09:31:45,18.06,-0.01,76,137329,卖盘
09:31:48,18.06,0.0,45,81302,卖盘
09:31:51,18.06,0.0,65,117392,卖盘
09:31:54,18.07,0.01,3,5421,买盘
09:31:57,18.07,0.0,260,469666,买盘
09:32:00,18.06,-0.01,200,361205,卖盘
09:32:03,18.06,0.0,26,46980,卖盘
09:32:06,18.04,-0.02,256,462317,卖盘
09:32:12,18.06,0.02,64,115577,买盘
09:32:15,18.04,-0.02,13,23462,卖盘
09:32:18,18.04,0.0,487,877822,卖盘
09:32:21,18.04,0.0,44,79393,买盘
09:32:24,18.04,0.0,40,72177,买盘
09:32:27,18.02,-0.02,437,787514,卖盘
09:32:30,18.02,0.0,6,10812,买盘
09:32:33,18.02,0.0,95,171162,买盘
09:32:36,18.01,-0.01,25,45030,卖盘
09:32:39,18.02,0.01,60,108097,买盘
09:32:42,18.0,-0.02,184,331359,卖盘
09:32:45,18.02,0.02,271,488072,买盘
09:32:48,18.0,-0.02,170,306055,卖盘
09:32:51,18.01,0.01,65,117045,买盘
09:32:54,18.0,-0.01,29,52529,卖盘
09:32:57,18.01,0.01,159,286273,买盘
09:33:00,18.0,-0.01,170,305716,卖盘
09:33:03,18.01,0.01,75,135014,买盘
09:33:06,18.0,-0.01,73,131448,卖盘
09:33:09,18.0,0.0,182,327598,卖盘
09:33:12,17.98,-0.02,76,136658,卖盘
09:33:15,17.98,0.0,66,118718,卖盘
09:33:18,17.97,-0.01,72,129539,卖盘
09:33:21,17.98,0.01,38,68301,买盘
09:33:24,17.97,-0.01,63,113246,卖盘
09:33:27,17.97,0.0,144,258619,买盘
09:33:30,17.96,-0.01,93,166985,中性盘
09:33:33,17.96,0.0,82,147303,中性盘
09:33:36,17.95,-0.01,87,156085,中性盘
09:33:39,17.95,0.0,46,82544,买盘
09:33:42,17.94,-0.01,76,136377,卖盘
09:33:45,17.94,0.0,113,202610,买盘
09:33:48,17.94,0.0,209,374849,买盘
09:33:51,17.93,-0.01,105,188274,卖盘
09:33:54,17.94,0.01,605,1084906,买盘
09:33:57,17.93,-0.01,128,229598,卖盘
09:34:00,17.93,0.0,154,276122,卖盘
09:34:03,17.94,0.01,109,195488,买盘
09:34:06,17.92,-0.02,49,87824,卖盘
09:34:09,17.93,0.01,91,163167,买盘
09:34:12,17.92,-0.01,307,550260,卖盘
09:34:15,17.94,0.02,76,136286,买盘
09:34:18,17.93,-0.01,1035,1853703,卖盘
09:34:21,17.94,0.01,35,62757,买盘
09:34:24,17.92,-0.02,74,132637,卖盘
09:34:27,17.96,0.04,455,816590,买盘
09:34:30,17.96,0.0,26,46696,卖盘
09:34:33,17.96,0.0,34,61064,卖盘
09:34:36,17.96,0.0,11,19756,卖盘
09:34:39,17.96,0.0,159,285609,卖盘
09:34:42,17.97,0.01,106,190394,买盘
09:34:45,17.96,-0.01,157,282042,卖盘
09:34:48,17.97,0.01,278,499401,买盘
09:34:51,17.97,0.0,93,167121,买盘
09:34:54,17.97,0.0,25,44925,卖盘
09:34:57,17.98,0.01,206,370394,买盘
09:35:00,17.98,0.0,16,28768,卖盘
09:35:06,17.99,0.01,33,59362,买盘
09:35:09,17.99,0.0,5,8995,买盘
09:35:12,18.0,0.01,39,70162,买盘
09:35:15,17.98,-0.02,20,35975,卖盘
09:35:18,17.99,0.01,27,48575,卖盘
